id_invoice,issuedDate,country,service,total,discount,tax,invoiceStatus,balance,dueDate,client
81,24-09-2022,Egypt,AI Solution,9749.01,803.62,553.58,Pending,9498.97,24-10-2022,Company B
27,20-08-2022,British Virgin Islands,UI/UX Design,380.75,28.58,35.3,Paid,387.47,11-09-2022,Company B
48,17-07-2022,Chile,Web Development,1117.68,41.67,100.6,Paid,1176.61,09-08-2022,Company B
42,09-06-2023,Maldives,Mobile App Development,4156.1,188.01,157.6,Paid,4125.69,08-07-2023,Company D
97,20-05-2023,Mozambique,Mobile App Development,2385.74,53.32,154.77,Paid,2487.19,31-05-2023,Company D
11,28-07-2022,Gibraltar,AI Solution,7387.93,429.62,187.75,Overdue,7146.06,23-08-2022,Company E
84,14-10-2022,Timor-Leste,IoT Solution,2177.23,347.98,152.49,Pending,1981.74,06-11-2022,Company B
55,20-03-2023,Latvia,AI Solution,7530.87,185.33,340.98,Overdue,7686.52,08-04-2023,Company E
4,04-01-2023,Kazakhstan,UI/UX Design,663.04,21.18,53.24,Paid,695.1,16-01-2023,Company B
40,23-09-2022,Italy,UI/UX Design,347.31,8.29,14.8,Pending,353.82,14-10-2022,Company B
64,21-10-2022,Ethiopia,Web Development,735.13,17.24,69.84,Paid,787.73,29-10-2022,Company C
53,04-08-2022,Turks and Caicos Islands,IoT Solution,5074.06,651.84,313.69,Overdue,4735.91,20-08-2022,Company C
18,02-09-2022,Mongolia,IoT Solution,3282.62,191.56,205.87,Paid,3296.93,22-09-2022,Company E
22,16-03-2023,Nauru,Mobile App Development,1252.25,72.87,104.15,Overdue,1283.53,30-03-2023,Company E
14,23-11-2022,Luxembourg,UI/UX Design,328.09,58.1,15.65,Paid,285.64,13-12-2022,Company E
32,23-11-2022,Denmark,UI/UX Design,897.58,23.61,10.35,Paid,884.32,16-12-2022,Company C
2,21-01-2023,British Virgin Islands,Mobile App Development,3701.35,195.28,329.94,Overdue,3836.01,13-02-2023,Company C
59,15-09-2022,Canada,AI Solution,4323.98,356.19,278.27,Paid,4246.06,06-10-2022,Company C
21,04-05-2023,Senegal,E-commerce Development,1991.95,157.76,19.02,Overdue,1853.21,16-05-2023,Company E
71,15-08-2022,Pakistan,E-commerce Development,4959.9,169.75,181.05,Paid,4971.2,24-08-2022,Company B
72,19-02-2023,United States Virgin Islands,Web Development,2221.35,325.73,53.29,Pending,1948.91,10-03-2023,Company A
17,22-11-2022,Oman,Mobile App Development,1782.24,319.25,104.13,Overdue,1567.12,03-12-2022,Company D
27,04-10-2022,Kiribati,Web Development,2504.62,411.6,9.76,Paid,2102.78,21-10-2022,Company E
33,11-01-2023,Solomon Islands,UI/UX Design,202.27,24.96,2.43,Pending,179.74,23-01-2023,Company B
70,07-02-2023,Wallis and Futuna,E-commerce Development,4445.53,709.03,156.16,Pending,3892.66,08-03-2023,Company B
37,03-03-2023,China,UI/UX Design,641.14,28.82,7.86,Pending,620.18,30-03-2023,Company D
45,25-01-2023,Israel,E-commerce Development,2226.47,46.12,159.34,Pending,2339.69,22-02-2023,Company D
65,10-03-2023,Faroe Islands,AI Solution,9768.34,249.47,249.19,Pending,9768.06,06-04-2023,Company A
79,31-01-2023,Namibia,E-commerce Development,4492.24,392.53,111.59,Pending,4211.3,26-02-2023,Company A
25,04-02-2023,Northern Mariana Islands,Mobile App Development,4166.52,102.37,212.14,Overdue,4276.29,20-02-2023,Company C
43,08-03-2023,Zimbabwe,Mobile App Development,2422.85,467.55,195.98,Pending,2151.28,27-03-2023,Company C
35,30-01-2023,United Kingdom,Web Development,2307.89,337.35,117.62,Overdue,2088.16,06-02-2023,Company A
57,06-08-2022,Niue,AI Solution,9245.58,1168.02,289.15,Pending,8366.71,25-08-2022,Company C
96,23-02-2023,South Georgia and the South Sandwich Islands,AI Solution,7598.78,581.66,249.54,Paid,7266.66,25-03-2023,Company C
13,23-05-2023,Nigeria,Web Development,1380.93,71.13,1.64,Paid,1311.44,10-06-2023,Company B
54,18-10-2022,Guadeloupe,Web Development,1136.41,117.49,18.88,Overdue,1037.8,06-11-2022,Company A
7,17-12-2022,Colombia,IoT Solution,4914.3,427.78,160.42,Pending,4646.94,30-12-2022,Company A
81,19-11-2022,Venezuela,Web Development,2701.78,173.73,45.46,Overdue,2573.51,01-12-2022,Company C
26,18-01-2023,Azerbaijan,IoT Solution,4945.2,344.34,169.59,Paid,4770.45,11-02-2023,Company A
57,28-09-2022,Jordan,IoT Solution,3676.62,548.39,98.01,Pending,3226.24,27-10-2022,Company D
17,23-12-2022,Guam,Web Development,1558.59,121.5,48.39,Pending,1485.48,11-01-2023,Company B
79,14-03-2023,Slovenia,Mobile App Development,4124.84,411.04,11.4,Overdue,3725.2,13-04-2023,Company C
31,24-11-2022,Uzbekistan,IoT Solution,3622.04,22.76,9.66,Paid,3608.94,12-12-2022,Company E
62,13-09-2022,Oman,Web Development,1702.84,61.61,24.09,Pending,1665.32,28-09-2022,Company A
85,07-02-2023,Botswana,UI/UX Design,744.42,18.66,65.61,Pending,791.37,09-03-2023,Company E
100,13-12-2022,Greenland,Web Development,1333.78,147.49,110.7,Pending,1296.99,30-12-2022,Company C
97,26-02-2023,Saint Vincent and the Grenadines,AI Solution,7191.36,46.94,578.09,Pending,7722.51,23-03-2023,Company C
75,14-07-2022,Barbados,Mobile App Development,2385.94,413.19,197.1,Overdue,2169.85,02-08-2022,Company B
93,19-12-2022,France,UI/UX Design,732.9,142.16,45.85,Overdue,636.59,10-01-2023,Company E
59,01-01-2023,Norway,Web Development,1080.95,210.12,28.76,Overdue,899.59,26-01-2023,Company D
79,10-02-2023,Barbados,AI Solution,4809.2,408.87,45.33,Pending,4445.66,22-02-2023,Company B
92,06-08-2022,Faroe Islands,E-commerce Development,2940.91,588.15,15.65,Overdue,2368.41,17-08-2022,Company C
5,22-04-2023,Yemen,Web Development,983.57,10.65,91.92,Pending,1064.84,22-05-2023,Company A
61,27-12-2022,Philippines,E-commerce Development,3837.51,482.71,222.89,Overdue,3577.69,20-01-2023,Company A
7,03-04-2023,China,Mobile App Development,1599.1,35.95,82.88,Pending,1646.03,18-04-2023,Company A
49,26-06-2023,Myanmar,E-commerce Development,2821.24,417.33,165.2,Overdue,2569.11,16-07-2023,Company E
4,06-01-2023,Congo,IoT Solution,6849.01,1042.84,570.26,Paid,6376.43,22-01-2023,Company A
40,03-07-2023,Slovakia (Slovak Republic),Mobile App Development,1852.46,333.77,154.53,Overdue,1673.22,23-07-2023,Company C
68,22-08-2022,Lebanon,E-commerce Development,3880.88,21.27,235.84,Overdue,4095.45,03-09-2022,Company E
37,11-10-2022,French Southern Territories,AI Solution,5283.74,951.74,235.22,Pending,4567.22,06-11-2022,Company A
85,28-04-2023,Timor-Leste,E-commerce Development,3123.55,513.37,198.15,Paid,2808.33,09-05-2023,Company A
26,05-09-2022,Jamaica,Web Development,1495.82,162.09,39.39,Overdue,1373.12,29-09-2022,Company D
14,17-02-2023,Congo,E-commerce Development,2002.99,154.12,18.46,Overdue,1867.33,24-02-2023,Company D
48,03-07-2023,Germany,UI/UX Design,719.95,112.77,28.89,Overdue,636.07,18-07-2023,Company D
84,26-01-2023,Aruba,E-commerce Development,3223.05,495.72,253.33,Overdue,2980.66,02-02-2023,Company D
4,04-12-2022,Fiji,UI/UX Design,552.87,41.37,20.4,Overdue,531.9,27-12-2022,Company E
80,29-10-2022,Netherlands,IoT Solution,5988.63,811.74,338.47,Overdue,5515.36,17-11-2022,Company D
44,31-08-2022,Portugal,IoT Solution,7984.69,73.01,126.37,Pending,8038.05,13-09-2022,Company C
49,28-06-2023,South Georgia and the South Sandwich Islands,UI/UX Design,343.21,3.85,7.66,Overdue,347.02,06-07-2023,Company D
44,29-10-2022,Saint Martin,UI/UX Design,266.91,9.94,16.85,Pending,273.82,16-11-2022,Company B
37,14-04-2023,Solomon Islands,Mobile App Development,1233.75,239.49,91.55,Overdue,1085.81,11-05-2023,Company D
94,19-02-2023,Costa Rica,Web Development,1585.72,95.92,53.95,Overdue,1543.75,12-03-2023,Company B
35,16-10-2022,Saint Kitts and Nevis,UI/UX Design,350.18,25.87,28.05,Pending,352.36,31-10-2022,Company A
2,10-05-2023,Taiwan,UI/UX Design,250.72,26.54,22.19,Pending,246.37,17-05-2023,Company A
82,12-10-2022,Botswana,Web Development,2250.57,260.71,10.5,Pending,2000.36,03-11-2022,Company B
11,27-10-2022,Poland,Mobile App Development,3847.74,50.22,33.86,Paid,3831.38,09-11-2022,Company E
24,30-11-2022,Ireland,Web Development,2316.65,242.94,66.49,Pending,2140.2,29-12-2022,Company D
78,15-10-2022,Belgium,IoT Solution,5982.88,312.76,231.97,Paid,5902.09,11-11-2022,Company A
1,06-11-2022,Ecuador,Web Development,1385.38,231.49,14.52,Paid,1168.41,21-11-2022,Company C
24,06-08-2022,Madagascar,Web Development,2913.66,166.18,264.69,Paid,3012.17,16-08-2022,Company A
18,04-02-2023,Lao People's Democratic Republic,IoT Solution,4534.77,479.05,276.08,Paid,4331.8,25-02-2023,Company E
15,16-08-2022,Bouvet Island (Bouvetoya),Web Development,1315.88,110.02,117.13,Pending,1322.99,06-09-2022,Company B
90,21-03-2023,Kyrgyz Republic,IoT Solution,4501.62,227.31,226.77,Overdue,4501.08,08-04-2023,Company E
84,28-04-2023,Anguilla,Mobile App Development,2721.59,160.84,121.63,Overdue,2682.38,23-05-2023,Company A
43,17-09-2022,Palestinian Territory,Web Development,2915.32,347.44,151.25,Overdue,2719.13,03-10-2022,Company D
64,31-01-2023,Egypt,AI Solution,6764.08,909.06,430.22,Pending,6285.24,27-02-2023,Company C
95,13-02-2023,Netherlands Antilles,UI/UX Design,492,5.11,7.38,Paid,494.27,08-03-2023,Company B
43,01-03-2023,Greenland,AI Solution,8466.65,1081.54,803.99,Paid,8189.1,29-03-2023,Company A
54,30-12-2022,Liechtenstein,IoT Solution,7033.92,268.56,298.86,Pending,7064.22,10-01-2023,Company B
41,09-08-2022,Uganda,AI Solution,7807.79,1507.04,532.12,Pending,6832.87,01-09-2022,Company C
38,17-02-2023,Macao,Web Development,1513.25,35.21,83.98,Overdue,1562.02,24-02-2023,Company A
29,18-11-2022,Wallis and Futuna,Web Development,528.51,54.56,50.1,Paid,524.05,02-12-2022,Company E
20,05-01-2023,South Africa,IoT Solution,3604.4,542.8,106.6,Paid,3168.2,24-01-2023,Company A
35,04-03-2023,Guinea-Bissau,E-commerce Development,4510.79,609.96,351.03,Pending,4251.86,31-03-2023,Company E
48,16-08-2022,Cuba,E-commerce Development,3459.47,592.94,142.21,Paid,3008.74,27-08-2022,Company A
11,12-09-2022,Ecuador,Mobile App Development,3555.07,688.44,241.13,Pending,3107.76,19-09-2022,Company A
91,14-06-2023,Dominica,Web Development,1957.19,34.22,64.41,Pending,1987.38,02-07-2023,Company D
66,18-04-2023,Montserrat,E-commerce Development,1173.44,84.04,101.3,Pending,1190.7,25-04-2023,Company E
77,22-01-2023,Venezuela,UI/UX Design,942.11,28.31,55.03,Pending,968.83,06-02-2023,Company E
55,24-08-2022,Norway,IoT Solution,5086.81,868.49,155.01,Overdue,4373.33,03-09-2022,Company B
90,19-01-2023,Colombia,E-commerce Development,1493.24,139.43,103.77,Paid,1457.58,12-02-2023,Company D
68,12-04-2023,Jordan,Mobile App Development,2837.08,265.42,246.67,Paid,2818.33,09-05-2023,Company B
48,14-02-2023,Iceland,Mobile App Development,3861.46,621.09,24.78,Pending,3265.15,01-03-2023,Company E
83,05-12-2022,American Samoa,IoT Solution,3024.09,472.3,194.15,Paid,2745.94,18-12-2022,Company B
56,17-09-2022,Cote d'Ivoire,UI/UX Design,243.79,0.54,15.06,Pending,258.31,29-09-2022,Company C
44,25-07-2022,Cyprus,E-commerce Development,4437.22,91.9,92.71,Pending,4438.03,08-08-2022,Company C
86,13-12-2022,Switzerland,IoT Solution,7705.94,324.82,495.11,Pending,7876.23,07-01-2023,Company B
68,21-06-2023,Liberia,IoT Solution,3202.28,112.35,176.65,Overdue,3266.58,21-07-2023,Company C
32,12-04-2023,Tonga,IoT Solution,5838.95,47.93,202.44,Overdue,5993.46,26-04-2023,Company C
68,19-02-2023,United States Minor Outlying Islands,Mobile App Development,4809.36,712.49,116,Pending,4212.87,01-03-2023,Company A
35,10-10-2022,Guadeloupe,E-commerce Development,1648.2,107.73,55.9,Paid,1596.37,04-11-2022,Company C
76,24-08-2022,Czech Republic,Web Development,1672.86,1.55,109.89,Pending,1781.2,01-09-2022,Company D
92,11-08-2022,Morocco,Web Development,2332.18,443.24,101.1,Overdue,1990.04,08-09-2022,Company A
44,23-03-2023,Sudan,E-commerce Development,2977.6,304.68,97.31,Pending,2770.23,19-04-2023,Company D
44,09-06-2023,Faroe Islands,IoT Solution,6203.42,403.15,422.41,Overdue,6222.68,26-06-2023,Company B
67,13-04-2023,Antigua and Barbuda,IoT Solution,2657.99,402.65,168.26,Paid,2423.6,28-04-2023,Company D
71,23-07-2022,Western Sahara,E-commerce Development,1359.17,209.88,29.23,Overdue,1178.52,15-08-2022,Company C
59,01-07-2023,Iran,Web Development,1304.08,4.68,36.65,Pending,1336.05,30-07-2023,Company B
66,20-04-2023,Bermuda,E-commerce Development,3448.55,637.9,185.14,Paid,2995.79,06-05-2023,Company E
97,14-11-2022,Montenegro,Web Development,785.7,145.57,63.99,Paid,704.12,09-12-2022,Company A
25,05-11-2022,Bhutan,E-commerce Development,1262.62,158.84,122.67,Paid,1226.45,12-11-2022,Company D
38,29-06-2023,Cambodia,Web Development,2238.5,153.69,206.99,Overdue,2291.8,20-07-2023,Company B
36,25-04-2023,Benin,E-commerce Development,4206.88,663.95,381.1,Overdue,3924.03,07-05-2023,Company E
28,20-01-2023,Panama,Mobile App Development,4069.93,730.15,124.86,Paid,3464.64,14-02-2023,Company D
46,25-09-2022,Finland,Web Development,1565.3,0.22,78.96,Pending,1644.04,08-10-2022,Company D
41,03-05-2023,Serbia,E-commerce Development,2911.18,379.96,235.2,Overdue,2766.42,24-05-2023,Company E
71,16-03-2023,Azerbaijan,E-commerce Development,1317.02,254.19,130.79,Pending,1193.62,23-03-2023,Company C
74,15-03-2023,Guinea-Bissau,IoT Solution,6988.27,1128.48,483.27,Pending,6343.06,26-03-2023,Company B
10,20-11-2022,Georgia,IoT Solution,3829.03,401.75,325.7,Overdue,3752.98,02-12-2022,Company B
88,13-02-2023,United States of America,IoT Solution,6662.09,1251.09,497.16,Paid,5908.16,11-03-2023,Company E
15,15-02-2023,Kenya,IoT Solution,7981.09,391.57,391.77,Pending,7981.29,08-03-2023,Company A
37,05-09-2022,Kuwait,IoT Solution,4303.51,416.45,209.53,Pending,4096.59,25-09-2022,Company B
77,01-07-2023,Norfolk Island,E-commerce Development,1637.62,134.21,111.19,Overdue,1614.6,25-07-2023,Company B
14,13-10-2022,Zimbabwe,E-commerce Development,1661.49,85.93,70.25,Pending,1645.81,31-10-2022,Company C
90,06-04-2023,Togo,Web Development,2070.69,24.42,12.46,Paid,2058.73,30-04-2023,Company A
100,13-05-2023,Honduras,IoT Solution,2064.52,14.03,162.29,Overdue,2212.78,20-05-2023,Company B
40,31-05-2023,Kenya,Web Development,1414.75,166.81,32.61,Overdue,1280.55,28-06-2023,Company E
60,07-10-2022,Lebanon,Mobile App Development,4753.75,806.42,96.07,Overdue,4043.4,15-10-2022,Company A
17,08-08-2022,Portugal,UI/UX Design,859.23,131.62,67.97,Overdue,795.58,30-08-2022,Company D
74,04-04-2023,Netherlands,UI/UX Design,673.04,131.32,30.01,Overdue,571.73,01-05-2023,Company A
4,30-01-2023,Philippines,UI/UX Design,249.72,40.65,4.51,Overdue,213.58,09-02-2023,Company E
9,18-11-2022,North Macedonia,Mobile App Development,4745.52,340.39,412.24,Overdue,4817.37,02-12-2022,Company B
11,22-03-2023,Antarctica (the territory South of 60 deg S),AI Solution,4291.86,461.11,355.86,Overdue,4186.61,30-03-2023,Company C
51,23-04-2023,Cameroon,E-commerce Development,3070.63,106.03,195.42,Overdue,3160.02,23-05-2023,Company A
46,09-03-2023,Trinidad and Tobago,Web Development,2324.65,401.5,102.02,Pending,2025.17,18-03-2023,Company E
34,14-11-2022,Swaziland,Web Development,1093.25,168.88,32.99,Paid,957.36,02-12-2022,Company B
73,11-11-2022,Lebanon,UI/UX Design,316.56,28.51,22.25,Overdue,310.3,26-11-2022,Company E
71,15-11-2022,Italy,Mobile App Development,4126.61,88.54,354.63,Overdue,4392.7,11-12-2022,Company A
45,28-04-2023,Croatia,Mobile App Development,3220.47,561.54,40.97,Paid,2699.9,12-05-2023,Company C
41,03-02-2023,Northern Mariana Islands,Mobile App Development,2491.98,256.98,33.82,Overdue,2268.82,03-03-2023,Company D
22,11-10-2022,Heard Island and McDonald Islands,Mobile App Development,2412.41,29.98,226.09,Pending,2608.52,24-10-2022,Company A
18,28-03-2023,Jamaica,UI/UX Design,780.66,34.85,9.95,Paid,755.76,22-04-2023,Company A
41,01-09-2022,Slovakia (Slovak Republic),IoT Solution,7687.73,1415.71,483.71,Pending,6755.73,29-09-2022,Company B
93,30-01-2023,Australia,IoT Solution,4585.55,535.96,6.21,Overdue,4055.8,23-02-2023,Company E
5,06-02-2023,Nicaragua,E-commerce Development,1959.99,150.23,88.63,Paid,1898.39,05-03-2023,Company C
26,28-02-2023,Egypt,UI/UX Design,369.81,44.16,32.43,Overdue,358.08,25-03-2023,Company C
24,06-07-2023,Cook Islands,Web Development,879.72,59.79,80.4,Pending,900.33,28-07-2023,Company D
75,30-04-2023,France,Web Development,2605.48,225.62,134.36,Overdue,2514.22,07-05-2023,Company B
46,03-01-2023,French Southern Territories,Mobile App Development,3046.03,580.39,181.34,Overdue,2646.98,17-01-2023,Company E
60,02-04-2023,Finland,E-commerce Development,3720.93,205.85,256.14,Pending,3771.22,14-04-2023,Company A
52,01-01-2023,Haiti,E-commerce Development,4967.38,271.15,201.52,Overdue,4897.75,13-01-2023,Company C
92,06-10-2022,Sri Lanka,Mobile App Development,2246.53,191.97,87.28,Overdue,2141.84,15-10-2022,Company D
31,25-06-2023,Burundi,E-commerce Development,2081.71,327.77,35.55,Overdue,1789.49,17-07-2023,Company C
95,08-10-2022,Samoa,IoT Solution,7783.02,660.32,767.89,Pending,7890.59,15-10-2022,Company E
1,19-07-2022,India,IoT Solution,4570.76,330.77,428.94,Pending,4668.93,30-07-2022,Company D
99,27-12-2022,Georgia,Mobile App Development,4758.69,22.29,87.99,Paid,4824.39,08-01-2023,Company E
78,11-11-2022,Korea,IoT Solution,6290.33,967.83,466.43,Pending,5788.93,04-12-2022,Company C
17,24-08-2022,Bulgaria,Mobile App Development,2704.65,133.71,57.64,Paid,2628.58,12-09-2022,Company B
52,23-03-2023,Saint Lucia,Mobile App Development,1574.61,45.99,130.09,Overdue,1658.71,21-04-2023,Company E
24,03-01-2023,Bouvet Island (Bouvetoya),IoT Solution,7024.15,997.47,641.36,Overdue,6668.04,11-01-2023,Company C
42,26-04-2023,Yemen,E-commerce Development,3538.95,363.81,5.95,Paid,3181.09,05-05-2023,Company D
68,07-10-2022,Uganda,AI Solution,7108.01,1058.57,53.3,Overdue,6102.74,05-11-2022,Company A
72,10-10-2022,Saint Kitts and Nevis,AI Solution,4217.39,771.26,261.98,Paid,3708.11,26-10-2022,Company E
90,08-10-2022,Swaziland,UI/UX Design,890.84,66.16,46.37,Paid,871.05,22-10-2022,Company D
24,01-12-2022,Armenia,Mobile App Development,2324.35,182.81,230.22,Pending,2371.76,29-12-2022,Company C
5,06-04-2023,Belgium,Mobile App Development,2071.67,255.26,129.97,Paid,1946.38,18-04-2023,Company D
65,22-05-2023,Mayotte,UI/UX Design,352.71,35.23,8.28,Paid,325.76,17-06-2023,Company E
99,18-01-2023,Ghana,Web Development,1438.29,258.05,73.27,Paid,1253.51,09-02-2023,Company A
39,11-06-2023,Argentina,UI/UX Design,380.94,5.79,9.62,Overdue,384.77,18-06-2023,Company E
83,30-12-2022,Iceland,Web Development,2408.27,394.32,215.54,Overdue,2229.49,25-01-2023,Company A
65,19-03-2023,Antigua and Barbuda,IoT Solution,6612.22,896.41,532.56,Pending,6248.37,02-04-2023,Company E
62,25-01-2023,Cayman Islands,Mobile App Development,1006.74,153.11,57.69,Paid,911.32,08-02-2023,Company B
68,30-05-2023,Yemen,UI/UX Design,501.46,19.09,47.73,Paid,530.1,20-06-2023,Company C
48,15-01-2023,New Zealand,IoT Solution,4631.46,430.39,439.89,Pending,4640.96,13-02-2023,Company D
10,15-08-2022,Kuwait,UI/UX Design,698.96,118.66,2.69,Overdue,582.99,06-09-2022,Company B
32,31-03-2023,Guam,E-commerce Development,2217.53,296.7,156.35,Overdue,2077.18,22-04-2023,Company E
73,19-08-2022,Antigua and Barbuda,E-commerce Development,4675.82,500.59,57.14,Overdue,4232.37,02-09-2022,Company C
44,06-02-2023,Oman,E-commerce Development,4453.58,453.09,137.85,Pending,4138.34,25-02-2023,Company E
24,19-11-2022,Ghana,IoT Solution,7767.39,773.16,774.65,Overdue,7768.88,30-11-2022,Company B
69,10-06-2023,South Georgia and the South Sandwich Islands,UI/UX Design,862.21,41.11,54.82,Overdue,875.92,21-06-2023,Company B
33,29-03-2023,Czech Republic,Mobile App Development,2349.47,180.16,185.62,Pending,2354.93,25-04-2023,Company E
68,08-08-2022,Congo,UI/UX Design,318.36,46.63,25.69,Paid,297.42,22-08-2022,Company B
35,24-12-2022,British Virgin Islands,E-commerce Development,1540.28,284.41,42.11,Overdue,1297.98,31-12-2022,Company B
90,23-09-2022,Cayman Islands,AI Solution,6150.65,374.97,475.62,Pending,6251.3,13-10-2022,Company B
